Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
fatigue_algorithm,iedea_2020_site_survey_english,,radio,12.2g. Fatigue/decreased playfulness,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,," @MAXCHOICE(1=0, 3=0)"
other_algorithm,iedea_2020_site_survey_english,,radio,12.2h. Other,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,,
other_algorith_oth,iedea_2020_site_survey_english,,text,"12.2h1 If Other, please specify",,,,,,,[other_algorithm] = '1' or [other_algorithm] = '2' or [other_algorithm] = '3',y,,,,,
description_12_3,iedea_2020_site_survey_english,,descriptive,12.3 For what ages are these screening algorithms used? ,,,,,,,"([cough_algorithm]=1 OR [fever_algorithm]=1 OR [nsweats_algorithm]=1 OR 
[wloss_algorithm]=1 OR [contacthx_algorithm]=1 OR  [other_algorithm]=1 OR [cough_algorithm]=3 OR 
[fever_algorithm]=3 OR [nsweats_algorithm]=3 OR [wloss_algorithm]=3 OR [contacthx_algorithm]=3 OR  [other_algorithm]=3) OR
[cough_algorithm]=2 OR [fever_algorithm]=2 OR [nsweats_algorithm]=2 OR 
[wloss_algorithm]=2 OR [contacthx_algorithm]=2 OR  [other_algorithm]=2 OR [thrivefail_algorithm]=2 OR [fatigue_algorithm]=2 OR  [thrivefail_algorithm]=3 OR [fatigue_algorithm]=3",,,,,,
min_age,iedea_2020_site_survey_english,,text,12.3a. Please provide the <u>minimum age</u> for the adult screening algorithm,,"Enter the minimum age (in years) or enter ""NA"" (not applicable) ",,,,,"[tb_algorithm]='1' AND ([cough_algorithm]=1 OR [fever_algorithm]=1 OR [nsweats_algorithm]=1 OR 
[wloss_algorithm]=1 OR [contacthx_algorithm]=1 OR  [other_algorithm]=1 OR [cough_algorithm]=3 OR 
[fever_algorithm]=3 OR [nsweats_algorithm]=3 OR [wloss_algorithm]=3 OR [contacthx_algorithm]=3 OR  [other_algorithm]=3)",y,,,,,
max_age,iedea_2020_site_survey_english,,text,12.3b. Please provide the <u>maximum age</u> for the child screening algorithm,,"Enter the maximum age (in years) or enter ""NA"" (not applicable) ",,,,,"[tb_algorithm]=1 AND ([cough_algorithm]=2 OR [fever_algorithm]=2 OR [nsweats_algorithm]=2 OR 
[wloss_algorithm]=2 OR [contacthx_algorithm]=2 OR  [other_algorithm]=2 OR [thrivefail_algorithm]=2 OR [fatigue_algorithm]=2 OR [cough_algorithm]=3 OR [fever_algorithm]=3 OR [nsweats_algorithm]=3 OR 
[wloss_algorithm]=3 OR [contacthx_algorithm]=3 OR  [other_algorithm]=3 OR [thrivefail_algorithm]=3 OR [fatigue_algorithm]=3)",y,,,,,
tb_dx,iedea_2020_site_survey_english,,yesno,12.4 Did this HIV clinic diagnose TB disease in adult and/or pediatric HIV patients in 2019? ,,,,,,,,y,RH,,,,
desc_12_5,iedea_2020_site_survey_english,,descriptive,"<div class=""rich-text-field-label""><p>12.5 For each of the following diagnostic tools, please indicate whether it was used in 2019 to evaluate <u>TB disease or infection</u> in <u>adult</u> patients, <u>children</u>, <u>adult and children</u></u> or for <u><u>none</u></u>.</u></p></div>",,,,,,,[tb_dx]='1',,,,,,
afb_smear_tool,iedea_2020_site_survey_english,,radio,12.5a. AFB Smear,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
xpert_tool,iedea_2020_site_survey_english,,radio,12.5b. Gene Xpert,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
cxr_tool,iedea_2020_site_survey_english,,radio,12.5c. Chest X-ray,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
culture_tool,iedea_2020_site_survey_english,,radio,12.5d. Culture,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
lam_tool,iedea_2020_site_survey_english,,radio,12.5e. Urine LAM,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
tbdrtest_tool,iedea_2020_site_survey_english,,radio,12.5f. TB drug resistance testing,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
tst_ltbi_tool,iedea_2020_site_survey_english,,radio,12.5g. Tuberculin skin testing (TST)/PPD for latent TB infection (LTBI),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
igra_ltbi_tool,iedea_2020_site_survey_english,,radio,"12.5h. IGRA (e.g., Quantiferon Gold, T-spot) for latent TB infection (LTBI)","1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
other_tool,iedea_2020_site_survey_english,,radio,12.5i. Other <br><i>(please specify or select None)</i>,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_tools,,
other_tools_ad,iedea_2020_site_survey_english,,text,"12.5i1. If Other, please specify",,,,,,,[other_tool]='1' OR [other_tool]='2' OR [other_tool]='3',y,,,,,
desc_12_6,iedea_2020_site_survey_english, ,descriptive,"12.6 For each of the following types of samples used for <u>microbiological diagnosis of TB</u>, please indicate whether they were collected in 2019 for <u>adult</u> patients, <u>children</u>, <u>adults and children</u>, or <u>for none.",,,,,,,[tb_dx]='1',,,,,,
sputum,iedea_2020_site_survey_english,,radio,12.6a. Expectorated sputum,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,,
induced_sp,iedea_2020_site_survey_english,,radio,12.6b. Induced sputum,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,,
gastric_asp,iedea_2020_site_survey_english,,radio,12.6c. Gastric aspirates,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,,
urine,iedea_2020_site_survey_english,,radio,12.6d. Urine,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,,
biopsy,iedea_2020_site_survey_english,,radio,12.6e. Biopsy,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,,
stringtest,iedea_2020_site_survey_english,,radio,"12.6f. ""String test""","1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,," @MAXCHOICE(1=0, 3=0)"
other_dx,iedea_2020_site_survey_english,,radio,12.6g. Other <br><i>(please specify or select None)</i>,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_dx]='1',y,,,tb_screening_dx,,
other_samples_ad,iedea_2020_site_survey_english,,text,"12.6g1. If Other, please specify",,,,,,,[other_dx]='1' OR [other_dx]='2' OR [other_dx]='3',y,,,,,
desct_12_7,iedea_2020_site_survey_english, ,descriptive,"12.7  During 2019, where were the following <u>TB diagnostic tests</u> typically performed for adult and/or pediatric patients enrolled in care at this HIV clinic? 

<i>Check on best response.</i>

<i>Confirm whether specimen collection/diagnostics were performed in the HIV clinic, elsewhere at the same health facility, off-site or were not available for routine patient care.</i>",,,,,,,[tb_dx]='1' OR [tb_dx]='0',,,,,,
afb_smear,iedea_2020_site_survey_english,,radio,12.7a AFB Smear,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
gene_xpert,iedea_2020_site_survey_english,,radio,12.7b Gene Xpert,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
cxray,iedea_2020_site_survey_english,,radio,12.7c Chest X-ray,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
culture,iedea_2020_site_survey_english,,radio,12.7d Culture,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
urine_lam,iedea_2020_site_survey_english,,radio,12.7e Urine LAM,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
tb_dr_test,iedea_2020_site_survey_english,,radio,12.7f TB drug resistance testing,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
tst_ltbi,iedea_2020_site_survey_english,,radio,12.7g Tuberculin skin testing (TST)/PPD for latent TB infection (LTBI),"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
igra,iedea_2020_site_survey_english,,radio,"12.7h IGRA (e.g., Quantiferon Gold, T-spot) for latent TB infection (LTBI)","1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
tb_dx_other,iedea_2020_site_survey_english,,radio,12.7i Other <br><i>(please specify or select Not Available)</i>,"1, Provided in <br>HIV Clinic | 2, Elsewhere in <br>health facility | 3, Only offsite <br>(referral) | 77, Not available",,,,,,[tb_dx]='1' OR [tb_dx]='0',y,,,tb_diagnostics,,
other_tb_dx,iedea_2020_site_survey_english,,text,"12.7i1. If Other TB diagnostic tests, please specify",,,,,,,[tb_dx_other]='1' OR [tb_dx_other]='2' OR [tb_dx_other]='3',y,,,,,
desc_12_8,iedea_2020_site_survey_english, ,descriptive,"12.8   In 2019, did <u>HIV patients typically pay any fee</u> (other than insurance co-pays) for the following screening/diagnostics for TB?

<i>Check one best response.</i>

<i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i>",,,,,,,,,,,,,
afb_smear_fee,iedea_2020_site_survey_english,,radio,12.8a AFB Smear,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
gene_xpert_fee,iedea_2020_site_survey_english,,radio,12.8b Gene Xpert,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
cxray_fee,iedea_2020_site_survey_english,,radio,12.8c Chest X-ray,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
culture_fee,iedea_2020_site_survey_english,,radio,12.8d Culture,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
urine_lam_fee,iedea_2020_site_survey_english,,radio,12.8e Urine LAM,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
tb_dr_fee,iedea_2020_site_survey_english,,radio,12.8f TB drug resistance testing,"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
tst_ltbi_fee,iedea_2020_site_survey_english,,radio,12.8g Tuberculin skin testing (TST)/PPD for latent TB infection (LTBI),"1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
igra_fee,iedea_2020_site_survey_english,,radio,"12.8h IGRA (e.g., Quantiferon Gold, T-spot) for latent TB infection (LTBI)","1, Yes | 2, No | 3, Don't Know | 77, NA (Not applicable)",,,,,,,y,,,tb_dx_fee,,
hiv_patients_tb_tx,iedea_2020_site_survey_english,"<div class=""rich-text-field-label""></div>",checkbox,"12.9  Which types of HIV patients can <u>be treated for TB disease</u> at this health facility (either within the HIV clinic or in a co-located TB clinic)?

<i>Check all that apply. If patients are referred elsewhere for TB treatment select ""None""</i>
","77, None <i>(all patients referred offsite for TB treatment)</i> | 1, Adults patients | 2, Pediatric patients",,,,,,,y,,,,, @NONEOFTHEABOVE=77
tracing_type,iedea_2020_site_survey_english,,radio,"12.10 In 2019, what type of tracing was performed for the <u>household contacts of HIV patients diagnosed with active TB?</u>

<i>Select one best response</i>
","0, No tracing or systematic documentation of contacts of active TB cases | 1, Site staff performed contact tracing and maintain a TB contact register | 2, Site staff recorded information about contacts of TB cases, but no dedicated register | 3, Contact tracing performed, but not by HIV clinic staff (e.g, performed by health department or a separate public health team)",,,,,,[hiv_patients_tb_tx(77)]!= '1',y,,,,,
hh_contacts_scr,iedea_2020_site_survey_english,,radio,"12.11  In 2019, did this site (either the HIV clinic or a co-located TB clinic) confirm whether <u>household contacts of active TB cases were screened for TB and provided tuberculosis preventive therapy</u> (TPT), if TB was ruled out?


<i>Select one best response.</i>
","1, Yes, the site maintained this information in a TB contact register | 2, Yes, the site documented this information, but not in a dedicated register | 3, No, this was done by a separate public health team (e.g. the health department) | 4, No systematic documentation done for contacts of active TB cases",,,,,,[hiv_patients_tb_tx(77)]!= '1',y,,,,,
hh_contacts_ltbi,iedea_2020_site_survey_english,,radio,"12.12 In 2019, did this site (either the HIV clinic or a co-located TB clinic) confirm whether <u>household contacts of active TB cases completed tuberculosis preventive therapy</u> (TPT)?


<i>Select one best response.</i>
","1, Yes, the site maintained this information in a TB contact register | 2, Yes, the site documented this information, but not in a dedicated register | 3, No, this was done by a separate public health team (e.g. the health department) | 4, No systematic documentation done for contacts of active TB cases",,,,,,[hiv_patients_tb_tx(77)]!= '1',y,,,,,
tb_patient_track,iedea_2020_site_survey_english,,checkbox,"12.13 What is done to <u>track patients with TB disease who miss appointments</u>?   

<i>Check all that apply, OR select ""Nothing /No follow-up""""</i>
","77, Nothing/No follow-up with patients with TB disease who miss appointments | 1, Phone call to individual and/or family | 2, Send message via letter, email, SMS, or online patient portal | 3, Home visit by clinic staff | 4, Home visit by community outreach worker | 5, Outreach by peer supporter/mentor | 88, Other (specify)",,,,,,[hiv_patients_tb_tx(77)]!= '1',y,,,,, @NONEOFTHEABOVE=77
tb_patient_track_oth,iedea_2020_site_survey_english,,text,"12.13a If Other, please specify",,,,,,,[tb_patient_track(88)] = '1',y,,,,,
ltfu_def,iedea_2020_site_survey_english,,radio,"12.14 How are patients defined as lost to follow-up from <u>TB treatment</u>? 

<i>Select one best response.</i>
","99, Do not know | 1, Treatment interruption for more than 2 weeks | 2, Treatment interruption for more than 1 month | 3, Treatment interruption for more than 2 months | 4, Treatment interruption for more than 3 months | 88, Other",,,,,,[hiv_patients_tb_tx(77)]!= '1',y,,,,,
ltfu_def_oth,iedea_2020_site_survey_english,,text,"12.14a If Other, please specify",,,,,,,[ltfu_def] = '88',y,,,,,
ltbi_tx_neg,iedea_2020_site_survey_english,,yesno,"12.15 In 2019, did this HIV clinic (or a co-located TB clinic) provide <u>TB preventive therapy (TPT)</u> for patients who screened negative for TB disease? ",,,,,,,,y,RH,,,,
desct_12_16,iedea_2020_site_survey_english,,descriptive,"12.16 Please indicate whether the following <u>TB preventive therapy (TPT) eligibility criteria</u> were used in 2019 with <u>adult patients</u>, <u>children</u>, <u>adults & children,</u> or with <u>none</u>. ",,,,,,,[ltbi_tx_neg]='1',,,,,,
new_hiv_pt,iedea_2020_site_survey_english,,radio,12.16a Patients newly diagnosed with HIV,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,,
onart_pt,iedea_2020_site_survey_english,,radio,12.16b Patients currently receiving ART,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,,
hx_contact_pt,iedea_2020_site_survey_english,,radio,12.16c Patients with history of contact with TB case,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,,
non_prevtb_pt,iedea_2020_site_survey_english,,radio,12.16d Patients who have not previously received TPT,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,,
prevtb_pt,iedea_2020_site_survey_english,,radio,12.16e Patients who have previously been treated for TB disease,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,,
non_preg_pos_pt,iedea_2020_site_survey_english,,radio,"12.16f Among non-pregnant adults, TST or IGRA positive","1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(2=0, 3=0)"
all_preg_pt,iedea_2020_site_survey_english,,radio,12.16g All pregnant women,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(2=0, 3=0)"
preg_pos_pt,iedea_2020_site_survey_english,,radio,"12.16h. Among pregnant women, TST or IGRA positive only","1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(2=0, 3=0)"
less_5yr_pt,iedea_2020_site_survey_english,,radio,12.16i.  Children under 5 years,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(1=0, 3=0)"
six_15yr_pt,iedea_2020_site_survey_english,,radio,12.16j. Children ages 6-15 years,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(1=0, 3=0)"
children_pos_pt,iedea_2020_site_survey_english,,radio,"12.16k.  Among children, TST or IGRA positive only","1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(1=0, 3=0)"
children_contact_pt,iedea_2020_site_survey_english,,radio,"12.16l. Children who are household contacts, regardless of TST or IGRA status","1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,," @MAXCHOICE(1=0, 3=0)"
other_pt_spec,iedea_2020_site_survey_english,,radio,12.16m. Other <br><i>(please specify or select None)</i>,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_patients,,
other_pt_ad,iedea_2020_site_survey_english,,text,"12.16m1. If Other, please specify",,,,,,,[other_pt_spec]='1' OR [other_pt_spec]='2' OR [other_pt_spec]='3',y,,,,,
desct_12_17,iedea_2020_site_survey_english,,descriptive,"12.17 Please indicate whether the following <u>TB preventive therapy (TPT) regimens</u>, were provided in 2019, to <u>adult</u> patients, <u>children</u>, <u>adults & children</u>, or to <u>none</u>?
	",,,,,,,[ltbi_tx_neg]='1',,,,,,
inh6,iedea_2020_site_survey_english,,radio,12.17a 6-month isoniazid (6H),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
inh9,iedea_2020_site_survey_english,,radio,12.17b 9-month isoniazid (9H),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
inh12,iedea_2020_site_survey_english,,radio,12.17c 12-month isoniazid (12H),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
inh36,iedea_2020_site_survey_english,,radio,12.17d 36/Lifetime isoniazid (36/Lifetime H),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
rif3,iedea_2020_site_survey_english,,radio,12.17e 3-month rifampicin (3R),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
rif4,iedea_2020_site_survey_english,,radio,12.17f 4-month rifampicin (4R),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
inh_rif3,iedea_2020_site_survey_english,,radio,12.17g  3-month isoniazid-rifampicin (3HR),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
inh_rif4,iedea_2020_site_survey_english,,radio,12.17h.4-month isoniazid-rifampicin (4HR),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
hp3_12weeks,iedea_2020_site_survey_english,,radio,12.17i. Once-weekly isoniazid-rifapentine for 12 weeks (3HP),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
hp3_1month,iedea_2020_site_survey_english,,radio,12.17j. Once-daily isoniazid-rifapentine for 1 month (1HP),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
mdrtb_specify,iedea_2020_site_survey_english,,radio,12.17k. Regimens for MDR-TB exposure (Specify),"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
other_specify,iedea_2020_site_survey_english,,radio,12.17l.  Other <br><i>(Please specify or select None)</i>,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[ltbi_tx_neg]='1',y,,,tb_regimens,,
other_tpt_ad,iedea_2020_site_survey_english,,text,"12.17l1. If Other, please specify",,,,,,,[other_specify]='1' OR [other_specify]='2' OR [other_specify]='3',y,,,,,
tpt_contraindications,iedea_2020_site_survey_english,,checkbox,"12.18 Which contraindications are patients screened for prior to TPT initiation? 

<i>Check all that apply, OR select ""Not applicable""</i>
","77, Not applicable <i>(patients are not screened for TPT contraindications)</i> | 1, Jaundice, liver disease | 2, Numbness, tingling (peripheral neuropathy) | 3, Previous adverse reaction <i>(e.g. hypersensitivity/flu-like symptoms, rash)</i> | 4, Alcohol misuse | 5, Age | 6, TB disease | 88, Other",,,,,,[ltbi_tx_neg]='1',y,,,,, @NONEOFTHEABOVE=77
tpt_contraindications_oth,iedea_2020_site_survey_english,,text,"12.18a If Other, please specify",,,,,,,[tpt_contraindications(88)] = '1',y,,,,,
tpt_diff_care,iedea_2020_site_survey_english,,yesno,12.19 Are HIV patients receiving TPT eligible for differentiated services delivery of HIV care?,,,,,,,[ltbi_tx_neg]='1',y,RH,,,,
tpt_ae,iedea_2020_site_survey_english,,checkbox,"12.20 Which signs/symptoms of adverse events are monitored in patients receiving TPT?

<i>Check all that apply, OR select ""Not applicable""</i>
","77, Not applicable <i>(patients receiving TPT are not monitored for adverse events)</i> | 1, Hepatitis symptoms <i>(nausea, vomiting, abdominal pain)</i> | 2, Numbness, tingling <i>(peripheral neuropathy)</i> | 3, Elevated liver enzymes | 4, Flu-like symptoms | 5, Rash | 88, Other",,,,,,[ltbi_tx_neg]='1',y,,,,, @NONEOFTHEABOVE='77'
tpt_ae_oth,iedea_2020_site_survey_english,,text,"12.20a If Other, please specify",,,,,,,[tpt_ae(88)] = '1',y,,,,,
tpt_patient_track,iedea_2020_site_survey_english,,checkbox,"12.21 In 2019, what was done to <u>track TPT patients with HIV who missed appointments</u>?   

<i>Check all that apply, OR select ""Nothing /No follow-up""""</i>
","77, Nothing/No follow-up with TPT patients who miss appointments | 1, Phone call to individual and/or family | 2, Send message via letter, email, SMS, or online patient portal | 3, Home visit by clinic staff | 4, Home visit by community outreach worker | 5, Outreach by peer supporter/mentor | 88, Other (specify)",,,,,,[ltbi_tx_neg]='1',y,,,,, @NONEOFTHEABOVE=77
tpt_patient_track_oth,iedea_2020_site_survey_english,,text,"12.21a If Other, please specify",,,,,,,[tpt_patient_track(88)] = '1',y,,,,,
tb_site_contact,iedea_2020_site_survey_english,,yesno,12.22 Is there someone at this site who can be contacted for additional information about treatment of TB at this health facility?,,,,,,,[ltbi_tx_neg]='0' OR [ltbi_tx_neg]='1',y,RH,,,,
tb_contact_info,iedea_2020_site_survey_english,,descriptive,"If Yes, please provide name and email address",,,,,,,[tb_site_contact]='1',,,,,,
tb_contact_name,iedea_2020_site_survey_english,,text,12.22a Full Name,,,,,,,[tb_site_contact]='1',,,,,,
tb_contact_email,iedea_2020_site_survey_english,,text,12.22b Email address,,,email,,,,[tb_site_contact]='1',,,,,,
au_disorder_screen,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">13. PATIENT SCREENING AND TREATMENT FOR SUBSTANCE USE DISORDERS
<i>Describe practices prior to COVID-19</i></div>",yesno,"13.1 Are any HIV patients screened for <u>alcohol use disorders?</u>

<i>Screening refers to any type of structured or unstructured assessment</i>",,,,,,,[tb_site_contact]='1' OR [tb_site_contact]='0' OR  [tb_site_contact]='',y,RH,,,,
aud_patient,iedea_2020_site_survey_english,,checkbox,"13.2 Which HIV patients are screened for <u>alcohol use disorders?</u>

<i>Check all that apply.</i>
","1, All patients | 2, Patients with symptoms of possible alcohol use disorders | 3, Patients with therapeutic failure | 4, Patients who are not adherent to ART | 88, Other types of patients",,,,,,[au_disorder_screen]='1',y,,,,, @NONEOFTHEABOVE='1'
aud_patient_oth,iedea_2020_site_survey_english,,text,"13.2 If Other, please specify",,,,,,,[aud_patient(88)] = '1',y,,,,,
aud_screen_tools,iedea_2020_site_survey_english,,checkbox,"13.3 Which structured instrument(s) are used to screen patients for <u>alcohol use disorders?</u>

 <i>Check all that apply.</i>
","77, None <i>(no structured or standardized screening tool used)</i> | 1, Alcohol Use Disorders Identification Test (AUDIT) | 2, Alcohol Use Disorders Identification Test-C (AUDIT-C) | 3, Alcohol, Smoking, and Substance Involvement Screening Test (ASSIST) | 4, Cut down, Annoyed, Guilty, Eye-opener (CAGE) | 88, Other",,,,,,[au_disorder_screen]='1',y,,,,, @NONEOFTHEABOVE='77'
